Mery_geo_cn_body.vtx
19
22
26
30
34
48
58
88
96
100
111
115
118
169
172
177
209
245
255
301
341
348
379
760
794
822
883
4550
4572
4584
4617
4625
4641
4644
4649
4848
4851
4853
4855
5058
5153
5320
5323
5327
5329
5353
5444
5490
5653
5705
5711
5715
5719
5733
5755
5767
5812
5816
5854
6761
6766
6770
6774
6804
6806
6811
6820
6827
6838
6848
6859
6867
6902
6917
6921
6926
6931
6933
6937
6998
7003
7006
7043
7055
7072
7157
7181
7187
7219
7248
7514
7854
7885
7895
7914
7918
7942
8026
8032
8036
8040
8043
11971
12037
12295
12323
12361
